0 SimpleNNPredictor 1 1 0.00 0.35 0.00 0.65 0.65 0.00
1 SimpleNNPredictor 3 1 0.30 0.20 0.28 0.22 0.52 0.56
2 SimpleNNPredictor 7 1 0.47 0.05 0.45 0.03 0.50 0.65
3 LinearPredictor 1 1 0.35 0.00 0.65 0.00 0.35 0.52
4 LinearPredictor 3 1 0.00 0.50 0.00 0.50 0.50 0.00
5 LinearPredictor 7 1 0.51 0.00 0.49 0.00 0.51 0.68
6 SimpleNNPredictor 1 1 0.06 0.30 0.10 0.55 0.61 0.22
7 SimpleNNPredictor 3 1 0.50 0.00 0.50 0.00 0.50 0.67
8 SimpleNNPredictor 7 1 0.01 0.50 0.01 0.48 0.49 0.05
9 LinearPredictor 1 1 0.00 0.35 0.00 0.65 0.65 0.00
10 LinearPredictor 3 1 0.00 0.50 0.00 0.50 0.50 0.00
11 LinearPredictor 7 1 0.51 0.00 0.49 0.00 0.51 0.68
12 SimpleNNPredictor 1 2 0.16 0.19 0.27 0.38 0.54 0.41
13 SimpleNNPredictor 3 2 0.01 0.49 0.01 0.49 0.50 0.04
14 SimpleNNPredictor 7 2 0.26 0.25 0.26 0.22 0.49 0.51
15 LinearPredictor 1 2 0.00 0.35 0.00 0.65 0.65 0.00
16 LinearPredictor 3 2 0.50 0.00 0.50 0.00 0.50 0.67
17 LinearPredictor 7 2 0.51 0.00 0.49 0.00 0.51 0.68
18 SimpleNNPredictor 1 3 0.16 0.19 0.30 0.35 0.51 0.39
19 SimpleNNPredictor 3 3 0.43 0.07 0.43 0.07 0.49 0.63
20 SimpleNNPredictor 7 3 0.51 0.00 0.49 0.00 0.51 0.68
21 LinearPredictor 1 3 0.35 0.00 0.65 0.00 0.35 0.52
22 LinearPredictor 3 3 0.50 0.00 0.50 0.00 0.50 0.67
23 LinearPredictor 7 3 0.00 0.51 0.00 0.49 0.49 0.00
24 SimpleNNPredictor 1 6 0.25 0.10 0.49 0.16 0.41 0.46
25 SimpleNNPredictor 3 6 0.27 0.23 0.25 0.24 0.51 0.52
26 SimpleNNPredictor 7 6 0.36 0.16 0.35 0.14 0.50 0.59
27 LinearPredictor 1 6 0.35 0.00 0.65 0.00 0.35 0.52
28 LinearPredictor 3 6 0.50 0.00 0.50 0.00 0.50 0.67
29 LinearPredictor 7 6 0.51 0.00 0.49 0.00 0.51 0.68
30 SimpleNNPredictor 1 10 0.23 0.12 0.42 0.23 0.46 0.46
31 SimpleNNPredictor 3 10 0.23 0.27 0.20 0.29 0.52 0.49
32 SimpleNNPredictor 7 10 0.34 0.17 0.35 0.14 0.48 0.57
33 LinearPredictor 1 10 0.35 0.00 0.65 0.00 0.35 0.52
34 LinearPredictor 3 10 0.50 0.00 0.50 0.00 0.50 0.67
35 LinearPredictor 7 10 0.51 0.00 0.49 0.00 0.51 0.68
36 SimpleNNPredictor 1 15 0.34 0.01 0.63 0.02 0.36 0.52
37 SimpleNNPredictor 3 15 0.24 0.27 0.25 0.25 0.49 0.48
38 SimpleNNPredictor 7 15 0.28 0.24 0.28 0.20 0.48 0.52
39 LinearPredictor 1 15 0.35 0.00 0.65 0.00 0.35 0.52
